DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Address,Borough Name,Community Board,Council District ,Census Tract,NTA,Precinct,Population
19K404,0.855,0.5379999999999999,0.7090000000000001,0.5920000000000001,0.65,0.49,0.8,0.49,1065 ELTON STREET,BROOKLYN ,5.0,42.0,"1,070",East New York,75.0,183328.0
19K409,0.866,0.6,0.8029999999999999,0.522,0.87,0.62,0.93,0.62,2057 LINDEN BOULEVARD,BROOKLYN ,5.0,42.0,"1,104",East New York,75.0,183328.0
19K504,0.715,0.212,0.616,0.293,0.57,0.24,0.52,0.25,400 PENNSYLVANIA AVENUE,BROOKLYN ,5.0,42.0,"1,156",East New York (Pennsylvania Ave),75.0,183328.0
19K507,0.629,0.396,0.634,0.381,0.7,0.37,0.71,0.34,400 PENNSYLVANIA AVENUE,BROOKLYN ,5.0,42.0,"1,156",East New York (Pennsylvania Ave),75.0,183328.0
19K510,0.6629999999999999,0.305,0.654,0.429,0.65,0.47,0.58,0.48,400 PENNSYLVANIA AVENUE,BROOKLYN ,5.0,42.0,"1,156",East New York (Pennsylvania Ave),75.0,183328.0
19K615,0.852,0.43,0.7070000000000001,0.485,0.67,0.42,0.64,0.37,1 WELLS STREET,BROOKLYN ,5.0,37.0,"1,196",East New York,75.0,183328.0
19K659,0.531,0.389,0.505,0.363,0.47,0.34,0.5,0.31,999 JAMAICA AVENUE,BROOKLYN ,5.0,37.0,"1,180",park-cemetery-etc-Brooklyn,75.0,183328.0
19K660,0.607,0.165,0.6729999999999999,0.253,0.65,0.3,0.5,0.26,145 PENNSYLVANIA AVENUE,BROOKLYN ,5.0,37.0,"1,144",East New York (Pennsylvania Ave),75.0,183328.0
20K445,0.71,0.522,0.726,0.565,0.68,0.6,0.7,0.54,1601 80 STREET,BROOKLYN ,11.0,43.0,182,Bensonhurst West,62.0,181981.0
20K485,0.8,0.69,0.855,0.721,0.83,0.79,0.87,0.7,350 67 STREET,BROOKLYN ,10.0,43.0,70,Bay Ridge,68.0,124491.0
20K490,0.703,0.57,0.66,0.5489999999999999,0.7,0.58,0.68,0.58,8301 SHORE ROAD,BROOKLYN ,10.0,43.0,46,Bay Ridge,68.0,124491.0
20K505,0.591,0.425,0.635,0.469,0.6,0.49,0.58,0.49,5800 20 AVENUE,BROOKLYN ,12.0,44.0,468,Borough Park,66.0,191382.0
21K337,0.49200000000000005,0.382,0.48,0.475,0.5,0.41,0.61,0.41,2630 BENSON AVENUE,BROOKLYN ,13.0,47.0,306,Gravesend,60.0,104278.0
21K344,0.675,0.408,0.616,0.5529999999999999,0.78,0.52,0.7,0.61,521 WEST AVENUE,BROOKLYN ,13.0,47.0,354,West Brighton,60.0,104278.0
21K348,0.565,0.5,0.7,0.585,0.74,0.57,0.83,0.4,2630 BENSON AVENUE,BROOKLYN ,13.0,47.0,306,Gravesend,60.0,104278.0
21K410,0.635,0.466,0.7090000000000001,0.48,0.67,0.55,0.69,0.52,2800 OCEAN PARKWAY,BROOKLYN ,13.0,47.0,354,West Brighton,60.0,104278.0
21K525,0.76,0.662,0.804,0.72,0.78,0.76,0.81,0.67,1600 AVENUE L,BROOKLYN ,14.0,44.0,768,Midwood,70.0,160664.0
21K540,0.659,0.521,0.7240000000000001,0.536,0.74,0.57,0.79,0.56,50 AVENUE X,BROOKLYN ,13.0,47.0,308,Gravesend,60.0,104278.0
21K620,0.504,0.3,0.648,0.337,0.61,0.38,0.57,0.27,25 BRIGHTON  4TH ROAD,BROOKLYN ,13.0,48.0,366,Brighton Beach,60.0,104278.0
21K690,0.723,0.562,0.737,0.599,0.76,0.61,0.78,0.55,8310 21ST AVENUE,BROOKLYN ,11.0,47.0,288,Bensonhurst West,62.0,181981.0
22K405,0.867,0.828,0.866,0.8170000000000001,0.85,0.74,0.89,0.74,2839 BEDFORD AVENUE,BROOKLYN ,14.0,45.0,772,Flatbush,70.0,160664.0
22K425,0.733,0.5920000000000001,0.708,0.5670000000000001,0.75,0.6,0.76,0.63,3787 BEDFORD AVENUE,BROOKLYN ,15.0,48.0,642,Madison,61.0,159645.0
22K535,0.958,0.862,0.9890000000000001,0.885,0.96,0.87,0.96,0.91,1830 SHORE BOULEVARD,BROOKLYN ,15.0,48.0,616,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61.0,159645.0
22K555,0.987,0.89,0.9540000000000001,0.887,0.97,0.92,0.99,0.9,350 CONEY ISLAND AVENUE,BROOKLYN ,7.0,39.0,504,Windsor Terrace,72.0,126230.0
23K493,0.642,0.35200000000000004,0.7120000000000001,0.462,0.55,0.49,0.56,0.4,2021 BERGEN STREET,BROOKLYN ,16.0,41.0,"36,501",Ocean Hill,73.0,86468.0
23K514,0.769,0.467,0.633,0.418,0.59,0.46,0.53,0.37,226 BRISTOL STREET,BROOKLYN ,16.0,41.0,924,Brownsville,73.0,86468.0
23K697,0.736,0.35700000000000004,0.816,0.396,0.73,0.55,0.67,0.47,226 BRISTOL STREET,BROOKLYN ,16.0,41.0,924,Brownsville,73.0,86468.0
24Q264,0.9059999999999999,0.7609999999999999,0.961,0.752,0.9,0.83,0.91,0.73,30-20 THOMSON AVENUE,QUEENS   ,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
24Q267,0.705,0.644,0.762,0.526,0.8,0.6,0.7,0.52,30-20 THOMSON AVENUE,QUEENS   ,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
24Q299,0.9640000000000001,0.96,1.0,0.927,0.96,0.99,0.99,0.86,30-20 THOMSON AVENUE,QUEENS   ,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
24Q455,0.624,0.465,0.684,0.395,0.61,0.49,0.65,0.4,48-01 90 STREET,QUEENS   ,4.0,25.0,461,Elmhurst,110.0,172634.0
24Q485,0.578,0.385,0.58,0.317,0.6,0.37,0.58,0.38,21-27 HIMROD STREET,QUEENS   ,5.0,30.0,595,Ridgewood,104.0,170190.0
24Q520,0.782,0.366,0.755,0.5539999999999999,0.74,0.69,0.7,0.5,45-35 VAN DAM STREET,QUEENS   ,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
24Q530,0.802,0.475,0.7440000000000001,0.569,0.7,0.6,0.82,0.64,45-35 VAN DAM STREET,QUEENS   ,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
24Q550,0.7959999999999999,0.478,0.831,0.524,0.83,0.63,0.85,0.58,105-25 HORACE HARDING EXPY N,QUEENS   ,4.0,21.0,"43,701",Corona,110.0,172634.0
24Q600,0.767,0.428,0.745,0.526,0.8,0.55,0.8,0.62,37-02 47 AVENUE,QUEENS   ,2.0,26.0,189,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
24Q610,0.879,0.65,0.89,0.565,0.88,0.8,0.94,0.82,45-30 36 STREET,QUEENS   ,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
25Q263,0.5870000000000001,0.40700000000000003,0.602,0.424,0.7,0.51,0.69,0.58,144-80 BARCLAY AVENUE,QUEENS   ,7.0,20.0,863,Murray Hill,109.0,247354.0
25Q281,0.843,0.767,0.9209999999999999,0.747,0.92,0.75,0.92,0.8,46-21 COLDEN STREET,QUEENS   ,7.0,20.0,845,Flushing,109.0,247354.0
25Q285,0.903,0.768,0.9009999999999999,0.8190000000000001,0.91,0.76,0.95,0.8,34-65 192 STREET,QUEENS   ,11.0,19.0,"1,139",Auburndale,111.0,116431.0
25Q425,0.66,0.38299999999999995,0.654,0.431,0.66,0.47,0.66,0.51,63-25 MAIN STREET,QUEENS   ,8.0,24.0,809,Kew Gardens Hills,107.0,151107.0
25Q460,0.604,0.358,0.5920000000000001,0.371,0.54,0.41,0.57,0.39,35-01 UNION STREET,QUEENS   ,7.0,20.0,"1,161",Flushing,109.0,247354.0
25Q525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,149-11 MELBOURNE AVENUE,QUEENS   ,8.0,24.0,809,Kew Gardens Hills,107.0,151107.0
25Q670,0.742,0.48700000000000004,0.764,0.653,0.81,0.75,0.82,0.65,75-40 PARSONS BOULEVARD,QUEENS   ,8.0,24.0,"77,908",Kew Gardens Hills,107.0,151107.0
26Q415,0.853,0.716,0.841,0.755,0.87,0.73,0.84,0.76,57-00 223RD STREET,QUEENS   ,11.0,23.0,"138,501",Oakland Gardens,111.0,116431.0
26Q430,0.875,0.68,0.888,0.7859999999999999,0.86,0.77,0.86,0.74,58-20 UTOPIA PARKWAY,QUEENS   ,11.0,20.0,"1,417",Auburndale,111.0,116431.0
26Q435,0.643,0.45299999999999996,0.555,0.445,0.53,0.4,0.54,0.45,230-17 HILLSIDE AVENUE,QUEENS   ,13.0,23.0,"1,301",Bellerose,105.0,188582.0
26Q495,0.862,0.745,0.914,0.733,0.92,0.77,0.91,0.79,32-24 CORPORAL KENNEDY STREET,QUEENS   ,11.0,19.0,"1,097",Bayside-Bayside Hills,111.0,116431.0
26Q566,0.8809999999999999,0.7020000000000001,0.885,0.696,0.9,0.74,0.9,0.74,74-20 COMMONWEALTH BLVD,QUEENS   ,13.0,23.0,"1,567",Bellerose,105.0,188582.0
27Q260,0.695,0.547,0.696,0.552,0.52,0.4,0.59,0.38,8-21 BAY 25 STREET,QUEENS   ,14.0,31.0,"100,802",Far Rockaway-Bayswater,101.0,67065.0
27Q262,0.9009999999999999,0.7040000000000001,0.909,0.723,0.86,0.61,0.97,0.66,100-00 BEACH CHANNEL DRIVE,QUEENS   ,14.0,32.0,"94,201",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,100.0,47913.0
27Q400,0.67,0.314,0.406,0.297,0.39,0.24,0.4,0.24,156-10 BAISLEY BOULEVARD,QUEENS   ,12.0,28.0,294,Springfield Gardens North,113.0,120132.0
27Q475,0.586,0.354,0.601,0.354,0.58,0.39,0.52,0.36,94-25 117 Street,QUEENS   ,9.0,28.0,120,Richmond Hill,102.0,144008.0
27Q475,0.586,0.354,0.601,0.354,0.58,0.39,0.52,0.36,94-25 117 Street,QUEENS   ,9.0,28.0,120,Richmond Hill,102.0,144008.0
27Q475,0.586,0.354,0.601,0.354,0.58,0.39,0.52,0.36,89-30 114 STREET,QUEENS   ,9.0,28.0,124,Richmond Hill,102.0,144008.0
27Q475,0.586,0.354,0.601,0.354,0.58,0.39,0.52,0.36,89-30 114 STREET,QUEENS   ,9.0,28.0,124,Richmond Hill,102.0,144008.0
27Q480,0.6409999999999999,0.33,0.536,0.39399999999999996,0.52,0.4,0.55,0.34,101-01 ROCKAWAY BOULEVARD,QUEENS   ,10.0,32.0,864,South Ozone Park,106.0,122441.0
27Q650,0.9790000000000001,0.593,0.963,0.821,0.98,0.82,0.95,0.74,94-06 104TH STREET,QUEENS   ,9.0,28.0,114,Richmond Hill,102.0,144008.0
28Q440,0.8440000000000001,0.649,0.8640000000000001,0.662,0.86,0.69,0.84,0.72,67-01 110 STREET,QUEENS   ,6.0,29.0,747,Forest Hills,112.0,112277.0
28Q505,0.7559999999999999,0.529,0.71,0.545,0.72,0.56,0.74,0.6,160-05 HIGHLAND AVENUE,QUEENS   ,8.0,24.0,448,Briarwood-Jamaica Hills,107.0,151107.0
28Q620,0.877,0.6970000000000001,0.856,0.6940000000000001,0.84,0.71,0.88,0.67,165-65 84 AVENUE,QUEENS   ,8.0,24.0,452,Briarwood-Jamaica Hills,107.0,151107.0
28Q680,0.99,0.898,0.9420000000000001,0.898,0.97,0.83,0.95,0.91,160-20 GOETHALS AVENUE,QUEENS   ,8.0,24.0,"1,267",Pomonok-Flushing Heights-Hillcrest,107.0,151107.0
28Q690,0.785,0.512,0.7120000000000001,0.546,0.76,0.58,0.74,0.5,116-25 GUY R BREWER BOULEVARD,QUEENS   ,12.0,28.0,278,Baisley Park,113.0,120132.0
29Q248,0.674,0.39799999999999996,0.57,0.43200000000000005,0.67,0.36,0.66,0.32,143-10 SPRINGFIELD BOULEVARD,QUEENS   ,12.0,31.0,330,Springfield Gardens North,113.0,120132.0
29Q259,0.8029999999999999,0.6559999999999999,0.7759999999999999,0.59,0.75,0.51,0.81,0.59,109-89 204 STREET,QUEENS   ,12.0,27.0,508,Hollis,113.0,120132.0
29Q265,0.6779999999999999,0.436,0.767,0.41700000000000004,0.83,0.46,0.85,0.49,143-10 SPRINGFIELD BOULEVARD,QUEENS   ,12.0,31.0,330,Springfield Gardens North,113.0,120132.0
29Q272,0.813,0.65,0.757,0.42,0.8,0.5,0.84,0.56,143-10 SPRINGFIELD BOULEVARD,QUEENS   ,12.0,31.0,330,Springfield Gardens North,113.0,120132.0
29Q283,0.684,0.45,0.826,0.40700000000000003,0.8,0.62,0.81,0.54,143-10 SPRINGFIELD BOULEVARD,QUEENS   ,12.0,31.0,330,Springfield Gardens North,113.0,120132.0
29Q492,0.746,0.455,0.774,0.563,0.69,0.55,0.66,0.5,207- 01 116TH  AVENUE,QUEENS   ,13.0,27.0,"53,401",Cambria Heights,105.0,188582.0
29Q498,0.7609999999999999,0.515,0.777,0.47700000000000004,0.74,0.51,0.78,0.49,207- 01 116TH  AVENUE,QUEENS   ,13.0,27.0,"53,401",Cambria Heights,105.0,188582.0
30Q445,0.565,0.434,0.63,0.43200000000000005,0.66,0.44,0.69,0.46,48-10 31 AVENUE,QUEENS   ,1.0,26.0,163,Astoria,114.0,202766.0
30Q450,0.657,0.429,0.561,0.429,0.59,0.4,0.63,0.43,14-30 BROADWAY,QUEENS   ,1.0,22.0,45,Astoria,114.0,202766.0
30Q501,0.934,0.836,0.966,0.8759999999999999,0.94,0.85,0.98,0.8,35-12 35TH AVENUE,QUEENS   ,1.0,26.0,57,Astoria,114.0,202766.0
30Q502,0.726,0.489,0.741,0.52,0.67,0.57,0.68,0.49,21-16 44TH ROAD,QUEENS   ,2.0,26.0,19,Hunters Point-Sunnyside-West Maspeth,108.0,113200.0
30Q555,0.726,0.435,0.667,0.444,0.7,0.45,0.62,0.51,28-01 41 AVENUE,QUEENS   ,1.0,26.0,33,Queensbridge-Ravenswood-Long Island City,114.0,202766.0
30Q575,0.89,0.813,0.8809999999999999,0.852,0.92,0.87,0.89,0.91,28-04 41 AVENUE,QUEENS   ,1.0,26.0,33,Queensbridge-Ravenswood-Long Island City,114.0,202766.0
30Q580,1.0,0.903,0.966,0.922,0.98,0.92,0.98,0.98,34-12 36 AVENUE,QUEENS   ,1.0,26.0,55,Queensbridge-Ravenswood-Long Island City,114.0,202766.0
31R047,0.941,0.9009999999999999,0.966,0.8240000000000001,0.97,0.95,0.9,0.88,100 ESSEX DRIVE,STATEN IS,2.0,51.0,"27,702",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,
31R080,0.866,0.8170000000000001,0.9,0.677,0.92,0.79,0.91,0.79,715 OCEAN TERRACE,STATEN IS,2.0,50.0,177,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,122.0,194822.0
31R440,0.7559999999999999,0.473,0.7609999999999999,0.528,0.73,0.51,0.78,0.54,465 NEW DORP LANE,STATEN IS,2.0,50.0,"11,202",New Dorp-Midland Beach,122.0,194822.0
31R445,0.639,0.414,0.625,0.475,0.61,0.42,0.67,0.43,85 ST JOSEPHS AVENUE,STATEN IS,1.0,49.0,213,Port Richmond,,
31R450,0.698,0.456,0.738,0.47700000000000004,0.79,0.51,0.8,0.56,105 HAMILTON AVENUE,STATEN IS,1.0,49.0,7,West New Brighton-New Brighton-St. George,120.0,175876.0
31R455,0.835,0.639,0.845,0.652,0.83,0.66,0.85,0.66,100 LUTEN AVENUE,STATEN IS,3.0,51.0,198,Annadale-Huguenot-Prince's Bay-Eltingville,123.0,98032.0
31R460,0.812,0.647,0.7829999999999999,0.74,0.81,0.69,0.84,0.7,1200 MANOR ROAD,STATEN IS,2.0,50.0,181,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,122.0,194822.0
31R600,0.63,0.366,0.6679999999999999,0.461,0.6,0.44,0.75,0.42,290 ST MARKS PLACE,STATEN IS,1.0,49.0,9,West New Brighton-New Brighton-St. George,120.0,175876.0
32K403,0.728,0.382,0.648,0.34,0.75,0.37,0.62,0.36,400 IRVING AVENUE,BROOKLYN ,4.0,37.0,435,Bushwick North,83.0,112634.0
32K545,0.601,0.44799999999999995,0.665,0.47,0.7,0.42,0.59,0.53,1155 DEKALB AVENUE,BROOKLYN ,4.0,34.0,393,Bushwick South,83.0,112634.0
32K549,0.6829999999999999,0.55,0.635,0.327,0.55,0.34,0.69,0.31,400 IRVING AVENUE,BROOKLYN ,4.0,37.0,435,Bushwick North,83.0,112634.0
32K552,0.634,0.252,0.513,0.309,0.51,0.28,0.48,0.31,400 IRVING AVENUE,BROOKLYN ,4.0,37.0,435,Bushwick North,83.0,112634.0
32K554,1.0,0.581,0.9740000000000001,0.7709999999999999,0.97,0.84,0.94,0.74,321 PALMETTO STREET,BROOKLYN ,4.0,37.0,433,Bushwick North,83.0,112634.0
32K556,0.489,0.314,0.43200000000000005,0.252,0.7,0.23,0.68,0.38,797 BUSHWICK AVENUE,BROOKLYN ,4.0,34.0,393,Bushwick South,83.0,112634.0
03M485,0.982,0.861,0.995,0.9329999999999999,0.98,0.86,0.99,0.8,100 AMSTERDAM AVENUE,MANHATTAN,7.0,6.0,151,Lincoln Square,20.0,102624.0
31R605,1.0,0.99,1.0,0.9,1.0,1.0,1.0,0.99,485 CLAWSON STREET,STATEN IS,2.0,50.0,134,New Dorp-Midland Beach,122.0,194822.0
02M475,0.985,0.8540000000000001,0.9940000000000001,0.987,0.98,0.99,0.99,0.97,345 CHAMBERS STREET,MANHATTAN,1.0,1.0,"31,703",Battery Park City-Lower Manhattan,1.0,66679.0
05M692,0.982,0.934,0.99,0.604,0.99,0.98,0.99,0.95,240 CONVENT AVE,MANHATTAN,9.0,9.0,"21,703",Manhattanville,26.0,49508.0
10X696,1.0,0.9359999999999999,1.0,0.988,1.0,0.99,1.0,0.99,2925 GOULDEN AVENUE,BRONX    ,8.0,11.0,409,Van Cortlandt Village,50.0,101720.0
13K430,0.977,0.867,0.96,0.948,0.98,0.83,0.98,0.91,29 FT GREENE PLACE,BROOKLYN ,2.0,35.0,33,Fort Greene,88.0,51421.0
10X445,1.0,0.9940000000000001,0.9990000000000001,0.9990000000000001,1.0,1.0,1.0,0.96,75 WEST 205 STREET,BRONX    ,7.0,11.0,409,Van Cortlandt Village,52.0,139307.0
14K449,0.914,0.961,0.986,0.857,1.0,0.87,0.99,0.97,223 GRAHAM AVENUE,BROOKLYN ,1.0,34.0,505,East Williamsburg,90.0,116836.0
28Q687,1.0,0.972,0.983,1.0,0.99,0.84,1.0,0.89,94-50 159 STREET,QUEENS   ,12.0,27.0,246,Jamaica,103.0,105803.0
